Plan,Expert,Our_method,Pei,Middle_frame,Zhang_et_al,Chen_et_al
Plan1,E1,0,0,0,0,0
Plan1,E2,1,0,1,0,1
Plan1,E3,0,0,0,0,1
Plan1,E4,0,0,0,0,0
Plan1,E5,0,0,0,0,0
Plan1,E6,0,0,0,1,0
Plan1,E7,1,0,1,0,0
Plan1,E8,1,0,1,0,0
Plan1,E9,1,0,1,0,0
Plan1,E10,1,0,1,0,0
Plan1,E11,0,0,0,0,1
Plan1,E12,1,0,0,0,1
Plan1,E13,1,0,1,0,0
Plan1,E14,1,0,1,0,0
Plan1,E15,1,0,1,0,1
Plan1,E16,1,0,1,0,0
Plan2,E1,0,1,0,0,0
Plan2,E2,1,0,0,0,0
Plan2,E3,0,0,0,0,0
Plan2,E4,0,0,0,0,0
Plan2,E5,0,1,0,0,0
Plan2,E6,0,1,0,0,0
Plan2,E7,0,0,0,0,0
Plan2,E8,1,1,0,0,1
Plan2,E9,0,0,0,0,0
Plan2,E10,0,0,0,0,0
Plan2,E11,1,1,1,1,1
Plan2,E12,0,1,1,0,0
Plan2,E13,0,1,0,0,0
Plan2,E14,1,1,0,1,1
Plan2,E15,1,1,1,1,0
Plan2,E16,0,0,1,0,0
Plan3,E1,0,1,0,0,0
Plan3,E2,0,0,0,1,0
Plan3,E3,0,0,0,0,0
Plan3,E4,0,0,0,0,0
Plan3,E5,0,0,0,0,0
Plan3,E6,1,0,0,0,0
Plan3,E7,0,0,0,0,0
Plan3,E8,1,0,1,0,0
Plan3,E9,1,0,0,0,0
Plan3,E10,1,0,0,1,0
Plan3,E11,0,0,0,1,0
Plan3,E12,0,0,0,0,0
Plan3,E13,0,0,0,0,0
Plan3,E14,1,0,0,1,0
Plan3,E15,1,1,1,1,1
Plan3,E16,0,0,0,0,0
Plan4,E1,0,0,1,1,0
Plan4,E2,0,0,0,0,0
Plan4,E3,0,0,0,0,0
Plan4,E4,0,0,0,0,1
Plan4,E5,0,0,0,1,0
Plan4,E6,0,0,0,1,0
Plan4,E7,0,0,0,0,0
Plan4,E8,1,0,1,1,1
Plan4,E9,0,0,0,0,1
Plan4,E10,1,0,1,0,1
Plan4,E11,0,0,0,1,0
Plan4,E12,0,0,0,1,1
Plan4,E13,1,0,1,0,1
Plan4,E14,1,0,1,0,1
Plan4,E15,1,0,1,0,1
Plan4,E16,0,0,0,0,0
Plan5,E1,1,0,0,0,1
Plan5,E2,1,0,0,0,1
Plan5,E3,1,0,0,0,1
Plan5,E4,1,0,1,0,1
Plan5,E5,0,0,1,0,0
Plan5,E6,0,0,0,0,0
Plan5,E7,1,0,0,0,1
Plan5,E8,1,0,1,0,1
Plan5,E9,1,0,0,0,0
Plan5,E10,1,1,1,0,1
